subject_id,practice_trial,trial,transition,reward,choice_1,choice_2,rt_1,rt_2,state
sub1,real,162,rare,1,1,2,292.6149999257177,372.535000089556,3
sub1,real,163,common,0,1,2,1137.8200000617653,539.5850001368672,2
sub1,real,164,rare,1,1,2,665.2799998410046,319.04500001110137,3
sub1,real,165,common,1,1,2,606.2149999197572,1572.1899999771267,2
sub1,real,166,common,1,2,2,545.1950000133365,663.4649999905378,3
sub1,real,167,common,1,2,2,253.09500005096197,286.894999910146,3
sub1,real,168,common,0,2,2,268.489999929443,427.6699998881668,3
sub1,real,169,common,0,1,2,273.3299999963492,350.61000008136034,2
sub1,real,170,common,1,2,2,292.54000005312264,318.6300001107156,3
sub1,real,171,rare,0,2,2,277.0649997983128,458.0399999395013,2
sub1,real,172,common,0,2,2,247.96499987132847,361.9399999734014,3
sub1,real,173,rare,1,2,2,338.32000009715557,362.5399998854846,2
sub1,real,174,common,1,1,2,48.7750000320375,412.2000001370907,2
sub1,real,175,common,0,1,2,346.43000015057623,548.6799997743219,2
sub1,real,176,common,1,2,2,273.6949999816716,390.7149999868125,3
sub1,real,177,common,1,2,2,261.5800001658499,429.2099999729544,3
sub1,real,178,common,0,2,2,348.255000077188,380.1750000566244,3
sub1,real,179,common,0,1,2,321.50500011630356,344.76500004529953,2
sub1,real,180,common,1,2,2,349.54000008292496,411.42000001855195,3
sub1,real,181,common,1,2,2,201.42500009387732,388.9250000938773,3
sub1,real,182,rare,1,2,2,362.4299999792129,493.59999992884696,2
sub1,real,183,common,1,2,2,329.4899999164045,688.9800000935793,3
sub1,real,184,common,1,2,2,298.4849999193102,347.5050001870841,3
sub1,real,185,common,0,2,2,449.5500000193715,496.1450002156198,3
sub1,real,186,rare,0,1,2,363.9549999497831,352.0800000987947,3
sub1,real,187,common,1,1,2,359.94999995455146,461.57000004313886,2
sub1,real,188,common,1,1,2,319.78000001981854,468.9100000541657,2
sub1,real,189,common,0,1,2,378.8250000216067,518.7900001183152,2
sub1,real,190,common,0,2,2,522.2950000315905,560.4650001041591,3
sub1,real,191,rare,0,2,2,382.3450000490993,395.7499999087304,2
sub1,real,192,common,0,1,2,331.3400000333786,407.24000008776784,2
sub1,real,193,common,1,2,2,458.1349999643862,305.74500001966953,3
sub1,real,194,rare,0,2,2,234.95499999262393,288.8599999714643,2
sub1,real,195,common,0,2,2,291.884999955073,467.475000070408,3
sub1,real,196,common,1,1,1,200.1449998933822,249.79500006884336,2
sub1,real,197,rare,1,1,1,279.08500004559755,373.5899999737739,3
sub1,real,198,common,1,1,1,51.02499993517995,362.1300000231713,2
sub1,real,199,rare,0,1,1,411.5300001576543,631.3000000081956,3
sub1,real,200,common,0,1,1,268.8300001900643,420.21000012755394,2
