subject_id,trials_used,alpha,lambda,beta_mb,beta_mf,beta2,stickiness,beta1_stage1,w_hybrid
sub28,190,0.17142072,0.83758708,2.9752772,2.8060331,2.727929,0.14282522,5.7813102999999995,0.5146371748978774
sub29,175,0.62288273,0.8657804,1.1601372,0.59490027,1.0557689,-0.015992789,1.75503747,0.6610327242756817
sub3,188,0.53333862,0.88823667,0.93362918,0.62652705,1.702807,0.60675551,1.56015623,0.5984203133297746
sub30,190,0.82193417,0.19209351,1.4869967,0.46491565,1.5358076,-0.20679303,1.95191235,0.7618153038480442
sub31,188,0.24545081,0.025548729,2.1668734,0.93668933,1.5795065,-0.3558671,3.10356273,0.6981890132441434
sub32,178,0.14240064,0.77499441,3.1799137,1.8077694,2.0341675,0.82015721,4.9876831,0.6375532759890058
sub33,189,0.15653895,0.74922459,1.1945134,1.8216534,2.0757991,0.75682366,3.0161667999999997,0.3960369167912067
sub34,188,0.41070567,0.2376804,1.8619822,1.1271291,4.1072416,1.803568,2.9891113000000002,0.6229216690592952
sub35,190,0.53986884,0.029497524,4.290228,2.0251194,4.231071,1.1253392,6.3153474,0.6793336499588288
sub36,186,0.61193592,0.031202921,2.8430984,1.5140339,3.284029,0.41040208,4.3571323,0.6525159678993452
sub37,190,0.50639129,0.04354203,0.65388034,1.106012,2.0359835,0.073324378,1.75989234,0.3715456480707223
sub38,184,0.52121383,0.092157338,0.58071024,0.87377936,0.45808964,0.29498131,1.4544896,0.39925362133905945
sub39,191,0.3138633,0.54732348,1.2184068,2.9997481,5.0865357,0.38511072,4.2181549,0.2888482829305296
sub4,187,0.54994941,0.14250178,1.7194881,1.9554134,1.7047095,1.0775682,3.6749015,0.4679004593728567
sub40,189,0.66291385,0.051490255,2.0940604,0.48860191,1.99714,0.11699191,2.58266231,0.8108146356927322
sub41,161,0.094777324,0.28216369,1.7513509,1.6578835,2.3310097,-0.12483334,3.4092344,0.5137079750221927
sub42,186,0.4829142,0.27869815,2.3786733,0.99770731,3.0444561,1.5303959,3.37638061,0.7045038977403676
sub43,191,0.50766068,0.070736337,1.9618412,1.4188632,2.3138049,0.75994723,3.3807044,0.5803054535025305
sub44,185,0.051943325,0.033297904,1.4484189,2.6623887,2.6502345,-0.56500575,4.1108076,0.3523441233299267
sub45,163,0.19011415,0.309098,1.2308773,1.3164153,0.90328601,0.25910846,2.5472926,0.4832100167840946
sub46,190,0.0195112,0.88203237,1.932604,2.9360649,2.0254191,0.08846352,4.868668899999999,0.3969470998531036
sub47,181,0.48751537,0.022942962,2.7460405,1.5824443,3.3559713,0.62333497,4.3284848,0.6344114919844468
sub48,187,0.53390307,0.2669233,0.93699199,0.73892508,0.8528978,0.52698794,1.6759170700000001,0.559092097558264
sub49,190,0.5430322,0.097536787,2.5873716,1.4079464,3.6944806,1.6445027,3.995318,0.6476009168732001
sub5,161,0.38204771,0.016695027,1.9798826,3.5458348,2.4932553,0.81667272,5.5257174000000004,0.3583032675540012
sub50,187,0.67028869,0.091354349,4.6900166,1.657555,3.383538,1.2193021,6.3475716,0.7388678530227213
sub51,188,0.36731307,0.53763347,0.80042677,0.99206874,1.2261939,-0.02370031,1.79249551,0.446543249639716
sub52,181,0.022721908,0.76268172,2.5179861,5.9888871,8.5137255,1.056126,8.506873200000001,0.2959943143386691
sub53,190,0.67728166,0.14960933,3.9350619,1.5798674,2.255283,1.1959991,5.5149293,0.7135289839527045
sub54,185,0.60666314,0.047742665,2.8872175,1.6441568,2.1823266,0.88913952,4.5313743,0.637161556042722
sub55,187,0.93810717,0.26646534,3.3244237,0.67197017,2.3048891,0.49347857,3.9963938700000003,0.8318558701022128
sub56,191,0.59735795,0.016257146,3.4402343,1.6765133,4.3485907,0.970624,5.1167476,0.6723478601915014
sub57,191,0.84459737,0.092486096,2.2557903,0.38206404,2.3678682,-0.1605216,2.63785434,0.8551610548746221
sub58,189,0.5539616,0.38941268,2.5348873,1.0293478,3.0355742,0.24074839,3.5642351,0.711200924989488
sub59,191,0.57313292,0.14277342,3.9025515,1.0338465,3.0062778,0.57609381,4.936398,0.7905666236798573
